x(m)	y(m)	Flux(W/m2)
0.126449	0.54	53579.7
0.128648	0.54	59607.4
0.130847	0.54	54919.2
0.133046	0.54	58267.9
0.135246	0.54	63625.9
0.137445	0.54	53579.7
0.139644	0.54	53244.8
0.141843	0.54	54584.3
0.144042	0.54	51235.6
0.146241	0.54	47552
0.14844	0.54	51235.6
0.150639	0.54	46212.5
0.152838	0.54	42863.8
0.155038	0.54	38175.5
0.157237	0.54	49226.4
0.159436	0.54	41524.3
0.161635	0.54	41189.4
0.163834	0.54	37840.7
0.166033	0.54	36836
0.168232	0.54	39515
0.170431	0.54	45207.9
0.172631	0.54	44538.1
0.17483	0.54	37170.9
0.177029	0.54	38175.5
0.179228	0.54	41859.1
0.181427	0.54	42863.8
0.183626	0.54	50231
0.185825	0.54	51570.5
0.188024	0.54	47552
0.190223	0.54	51570.5
0.192423	0.54	50231
0.194622	0.54	55923.8
0.196821	0.54	54919.2
0.19902	0.54	53914.6
0.201219	0.54	47217.1
0.203418	0.54	56258.7
0.205617	0.54	48221.7
0.207816	0.54	48221.7
0.210015	0.54	45207.9
0.212215	0.54	36836
0.214414	0.54	31813
0.216613	0.54	23441.1
0.218812	0.54	16743.7
0.00109956	0.66	13729.8
0.00329867	0.66	5357.97
0.00549779	0.66	3683.6
0.0076969	0.66	3683.6
0.00989602	0.66	1339.49
0.0120951	0.66	1004.62
0.0142942	0.66	334.873
0.0164934	0.66	669.746
0.0186925	0.66	0
0.0208916	0.66	0
0.0230907	0.66	669.746
0.0252898	0.66	334.873
0.0274889	0.66	1004.62
0.0296881	0.66	334.873
0.0318872	0.66	334.873
0.0340863	0.66	669.746
0.0362854	0.66	1004.62
0.0384845	0.66	334.873
0.0406836	0.66	669.746
0.0428827	0.66	334.873
0.0450819	0.66	1339.49
0.047281	0.66	669.746
0.0494801	0.66	1339.49
0.0516792	0.66	334.873
0.0538783	0.66	1004.62
0.0560774	0.66	669.746
0.0582765	0.66	1674.37
0.0604757	0.66	1339.49
0.0626748	0.66	1004.62
0.0648739	0.66	1004.62
0.067073	0.66	334.873
0.0692721	0.66	1004.62
0.0714712	0.66	1339.49
0.0736704	0.66	1004.62
0.0758695	0.66	669.746
0.0780686	0.66	1004.62
0.0802677	0.66	669.746
0.0824668	0.66	1339.49
0.0846659	0.66	0
0.086865	0.66	669.746
0.0890642	0.66	334.873
0.0912633	0.66	669.746
0.0934624	0.66	0
0.0956615	0.66	0
0.0978606	0.66	1004.62
0.10006	0.66	2009.24
0.102259	0.66	3013.86
0.104458	0.66	3348.73
0.106657	0.66	8371.83
0.108856	0.66	10715.9
0.111055	0.66	21766.8
0.113254	0.66	19087.8
0.115454	0.66	22101.6
0.117653	0.66	34491.9
0.119852	0.66	47886.9
0.122051	0.66	47552
0.12425	0.66	54584.3
0.126449	0.66	55923.8
0.128648	0.66	48556.6
0.130847	0.66	52240.2
0.133046	0.66	60946.9
0.135246	0.66	67979.3
0.137445	0.66	53914.6
0.139644	0.66	51570.5
0.141843	0.66	47552
0.144042	0.66	49561.2
0.146241	0.66	44873
0.14844	0.66	55588.9
0.150639	0.66	44873
0.152838	0.66	48891.5
0.155038	0.66	47217.1
0.157237	0.66	42528.9
0.159436	0.66	43868.4
0.161635	0.66	42863.8
0.163834	0.66	45877.6
0.166033	0.66	44203.3
0.168232	0.66	42863.8
0.170431	0.66	43198.6
0.172631	0.66	40854.5
0.17483	0.66	41859.1
0.177029	0.66	45877.6
0.179228	0.66	50231
0.181427	0.66	54249.5
0.183626	0.66	48221.7
0.185825	0.66	53244.8
0.188024	0.66	51905.3
0.190223	0.66	52575.1
0.192423	0.66	56928.4
0.194622	0.66	60612
0.196821	0.66	61616.7
0.19902	0.66	52910
0.201219	0.66	64295.6
0.203418	0.66	50565.8
0.205617	0.66	51905.3
0.207816	0.66	49226.4
0.210015	0.66	38175.5
0.212215	0.66	32482.7
0.214414	0.66	25785.2
0.216613	0.66	22101.6
0.218812	0.66	15404.2
0.00109956	0.78	11050.8
0.00329867	0.78	5692.84
0.00549779	0.78	4353.35
0.0076969	0.78	1674.37
0.00989602	0.78	2009.24
0.0120951	0.78	669.746
0.0142942	0.78	669.746
0.0164934	0.78	0
0.0186925	0.78	0
0.0208916	0.78	669.746
0.0230907	0.78	334.873
0.0252898	0.78	334.873
0.0274889	0.78	1004.62
0.0296881	0.78	334.873
0.0318872	0.78	1339.49
0.0340863	0.78	1004.62
0.0362854	0.78	2009.24
0.0384845	0.78	669.746
0.0406836	0.78	669.746
0.0428827	0.78	1339.49
0.0450819	0.78	1004.62
0.047281	0.78	669.746
0.0494801	0.78	669.746
0.0516792	0.78	0
0.0538783	0.78	334.873
0.0560774	0.78	1004.62
0.0582765	0.78	1004.62
0.0604757	0.78	1339.49
0.0626748	0.78	1004.62
0.0648739	0.78	1004.62
0.067073	0.78	1004.62
0.0692721	0.78	1339.49
0.0714712	0.78	1004.62
0.0736704	0.78	1674.37
0.0758695	0.78	669.746
0.0780686	0.78	334.873
0.0802677	0.78	669.746
0.0824668	0.78	334.873
0.0846659	0.78	1004.62
0.086865	0.78	334.873
0.0890642	0.78	669.746
0.0912633	0.78	334.873
0.0934624	0.78	669.746
0.0956615	0.78	334.873
0.0978606	0.78	1004.62
0.10006	0.78	1339.49
0.102259	0.78	1339.49
0.104458	0.78	4688.22
0.106657	0.78	8371.83
0.108856	0.78	12055.4
0.111055	0.78	14734.4
0.113254	0.78	20762.1
0.115454	0.78	27124.7
0.117653	0.78	34157.1
